Geography Name,County FIPS,County Name,Place FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),Living in Poverty,At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk,Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),City/Town
Kenansville town,61,Duplin,3735460,949,451.1,2.1,9,195,438,39,399,211,34,177,63,0.84,0,9.75,9.75,1,Flood mitigation Currie/Duplin street,"The stormwater drainage canal located between Duplin and Currie Streets in Wallace experiences flooding during major storms and periods of heavy rainfall occurring within a short period of time. Continued flooding has resulted in caving in and widening of the canal which is now in danger of undermining nearby houses. Previous efforts by the Town to haul in dirt to shore up the bank have not provided a viable long term solution. Golden LEAF flood mitigation grant funds will be used to install sheet piling and rip rap along the bank to stop erosion, improve the transport of stormwater, and significantly reduce flooding along the canal. This canal carries one third of total stormwater for the town and connects downstream to the main branch of Little Rockfish Creek, which is the town’s main drainage area. There are two households in the immediate project area. The flooding and erosion also threaten a main sewer line that crosses over and runs parallel to the canal,  and which must be inspected for damage and exposure after each heavy rain event.
",Town of Wallace,Local Government,Infrastructure,2/22/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,Wallace
Kenly town,"101, 195","Johnston, Wilson",3735540,2385,1367.7,1.74,367,453,1316,344,972,235,59,176,,0.73,0.68,7.02,7.7,,,,,,,,,,,,,,,
Kernersville town,67,Forsyth,3735600,24876,1390.5,17.89,910,4126,15528,1534,13994,4170,472,3698,,0.41,0.45,4.83,5.27,18,Thomas Drake Ct Project,"The Town of Kernersville discovered a sizable hole and longitudinal fractures during inspection of the culvert crossing on Thomas Drake Court. Failure of the culvert would lead to the development of a sinkhole, loss of the road, area flooding and potential property damage for residents. Loss of the road would also prevent access for emergency services. An existing sewer line could also be undermined causing failure resulting in loss of services as well as wastewater entering the channel. Golden LEAF flood mitigation grant funds will be used to replace the existing damaged culvert. The project will include removal of the failing corrugated metal pipe and replace it with reinforced concrete pipe (RCP). The culvert will be extended upstream of the crossing. The extension will provide protection to the adjacent sewer line. Downstream of the culvert crossing, two driveway culvert crossings will be abandoned in place and the new RCP installed with tie-in to the proposed headwall. Stream realignment and stabilization grading both upstream and downstream will better direct flow and prevent further erosion. Households located in the immediate project area in the section of Thomas Drake Court from the culvert crossing northward to the cul-de-sac will directly benefit from this project.",Town of Kernersville,Local Government,Infrastructure,5/20/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Kernersville
Kill Devil Hills town,55,Dare,3735720,7249,1290.3,5.62,187,787,5068,417,4651,1129,51,1078,7,0.23,34.46,64.69,99.16,21,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,County
King city,"169, 67","Stokes, Forsyth",3735760,6980,1154.6,6.05,43,1338,4040,146,3894,1314,137,1177,,0.38,0.35,2.18,2.52,,,,,,,,,,,,,,,
Kings Grant CDP,129,New Hanover,3735870,8596,1893.5,4.54,154,1085,5833,643,5190,1522,63,1459,61,0.43,1.88,13.84,15.72,,,,,,,,,,,,,,,
Kings Mountain city,"45, 71","Cleveland, Gaston",3735880,10885,810.8,13.42,1174,1378,6008,1311,4697,2120,313,1807,,0.67,0.35,2.79,3.14,,,,,,,,,,,,,,,
Kingstown town,45,Cleveland,3735890,581,330,1.76,10,69,349,39,310,153,23,130,51,0.63,0,4.87,4.87,,,,,,,,,,,,,,,
Kinston city,107,Lenoir,3735920,20173,1094.5,18.43,1888,2503,10132,2340,7792,4807,1075,3732,75,0.79,4.66,20.66,25.32,11,Engineering Costs for Planning and Development of Flood Mitigation Solutions for the Adkin Branch Stream,"The City of Kinston experiences flooding along Adkin Branch which runs through many residential areas and commercial/business districts. When flooding occurs along Adkin Branch, residents are restricted from accessing emergency services and nearby medical offices. The city will use Golden LEAF flood mitigation grant funds to review existing data sources, collect additional data from field surveys, begin permitting processes, and to update existing models as needed. The city will also use funds for project coordination, and to develop a plan for flood mitigation solutions. The city has committed to funding remaining costs associated with this project from its stormwater utility fund. The city has also received funding from North Carolina Emergency Management for Stage 2 improvements along Adkin Branch. Households in the immediate project area and surrounding areas in the city will benefit from this project.",City of Kinston,Local Government,Planning,3/21/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Kinston
Kittrell town,181,Vance,3736020,136,654.4,0.21,0,25,79,19,60,28,5,23,58,0.8,,,,,,,,,,,,,,,,,,
Kitty Hawk town,55,Dare,3736060,3534,435.8,8.11,0,680,2069,68,2001,785,0,785,73,0.15,19.43,79.91,99.35,21,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,County
Knightdale town,183,Wake,3736080,16798,2114,7.95,162,4260,10873,651,10222,1408,17,1391,85,0.53,0.79,5.96,6.75,,,,,,,,,,,,,,,
Kure Beach town,129,New Hanover,3736220,2451,2786.2,0.88,17,225,1583,46,1537,626,9,617,75,0.04,24.12,24.03,48.15,,,,,,,,,,,,,,,
La Grange town,107,Lenoir,3736400,2658,1153.9,2.3,169,205,1876,354,1522,408,14,394,66,0.9,0.23,2.2,2.43,11,Engineering Costs for Planning and Development of Flood Mitigation Solutions for the Adkin Branch Stream,"The City of Kinston experiences flooding along Adkin Branch which runs through many residential areas and commercial/business districts. When flooding occurs along Adkin Branch, residents are restricted from accessing emergency services and nearby medical offices. The city will use Golden LEAF flood mitigation grant funds to review existing data sources, collect additional data from field surveys, begin permitting processes, and to update existing models as needed. The city will also use funds for project coordination, and to develop a plan for flood mitigation solutions. The city has committed to funding remaining costs associated with this project from its stormwater utility fund. The city has also received funding from North Carolina Emergency Management for Stage 2 improvements along Adkin Branch. Households in the immediate project area and surrounding areas in the city will benefit from this project.",City of Kinston,Local Government,Planning,3/21/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Kinston
Lake Junaluska CDP,87,Haywood,3736480,3252,611.5,5.32,0,492,1942,133,1809,818,20,798,6,0.2,0.44,8.12,8.56,,,,,,,,,,,,,,,
Lake Lure town,161,Rutherford,3736500,1634,124.1,13.17,14,144,783,99,684,683,25,658,76,0.14,0.06,11.44,11.5,,,,,,,,,,,,,,,
Lake Norman of Catawba CDP,35,Catawba,3736510,8701,360.5,24.14,174,1489,5128,257,4871,1890,57,1833,,0.11,0,27.69,27.69,,,,,,,,,,,,,,,
Lake Norman of Iredell CDP,97,Iredell,3736511,12832,1267.8,10.12,60,3179,7539,188,7351,2005,57,1948,63,0.05,0,48.42,48.42,,,,,,,,,,,,,,,
Lake Park village,179,Union,3736512,3851,5240.2,0.73,82,826,2198,130,2068,645,64,581,73,0.4,0.02,1.61,1.63,,,,,,,,,,,,,,,
Lake Royale CDP,69,Franklin,3736513,3228,495.9,6.51,185,684,1794,171,1623,565,3,562,67,0.49,0.5,15.1,15.6,,,,,,,,,,,,,,,
Lake Santeetlah town,75,Graham,3736514,40,205.9,0.19,0,0,4,0,4,36,0,36,,0.24,0,9.49,9.49,,,,,,,,,,,,,,,
Lake Waccamaw town,47,Columbus,3736640,1606,577.6,2.78,56,225,602,105,497,460,19,441,72,0.77,5.14,19.37,24.51,14,Hickman Road Flood Mitigation,The Town of Tabor City reports that the existing drainage ditch running perpendicular to Hickman Road in the southern part of town is prone to frequent flooding during heavy rain events. Streets and residential properties in the area are often left flooded for extended periods of time. Golden LEAF flood mitigation grant funds will be used to install infrastructure to enclose the ditch and improve drainage to eliminate flooding in the area. An exposed water line running along the slope of the ditch will be abandoned and water services will be reconnected to existing water lines located upstream. Households and vehicles traveling on adjacent roads in the immediate project area will benefit from this project.,Town of Tabor City,Local Government,Infrastructure,5/10/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,175000,175000,Tabor City
Landis town,159,Rowan,3736860,3119,920,3.39,55,909,1532,64,1468,623,115,508,8,0.61,0.19,6.27,6.45,,,,,,,,,,,,,,,
Lansing town,9,Ashe,3736960,278,753.1,0.37,36,33,164,30,134,38,0,38,47,0.54,1.42,18.47,19.89,,,,,,,,,,,,,,,
Lasker town,131,Northampton,3737000,176,157.4,1.12,54,5,71,16,55,46,6,40,58,0.88,0,0.03,0.03,,,,,,,,,,,,,,,
Lattimore town,45,Cleveland,3737040,652,636,1.03,5,88,372,45,327,85,9,76,59,0.63,,,,,,,,,,,,,,,,,,
Laurel Hill CDP,165,Scotland,3737120,1117,465.9,2.4,106,122,752,192,560,137,33,104,,0.73,0,7.98,7.98,,,,,,,,,,,,,,,
Laurel Park town,89,Henderson,3737160,2533,904.3,2.8,6,263,1187,53,1134,960,60,900,75,0.12,0.5,1.13,1.63,,,,,,,,,,,,,,,
Laurinburg city,165,Scotland,3737220,15118,1204.9,12.55,2074,1498,7961,2705,5256,2628,423,2205,85,0.89,0.27,6.59,6.86,,,,,,,,,,,,,,,
Lawndale town,45,Cleveland,3737260,711,881.5,0.81,42,65,509,103,406,91,6,85,55,0.62,0,13.21,13.21,,,,,,,,,,,,,,,
Leggett town,65,Edgecombe,3737640,43,61.5,0.7,0,4,15,4,11,24,0,24,52,0.7,0.64,10.11,10.75,,,,,,,,,,,,,,,
Leland town,19,Brunswick,3737680,21903,1098.4,19.94,278,4067,11501,778,10723,6057,180,5877,76,0.4,1.94,17.76,19.7,13,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Boiling Springs Lakes
Lenoir city,27,Caldwell,3737760,17909,860,20.83,1122,2631,10402,1650,8752,3229,439,2790,68,0.7,1.69,11.28,12.97,,,,,,,,,,,,,,,
Lewiston Woodville town,15,Bertie,3738030,409,209.1,1.96,30,93,204,12,192,82,18,64,46,0.81,1.18,4.36,5.54,,,,,,,,,,,,,,,
Lewisville town,67,Forsyth,3738040,14030,970.7,14.45,642,2976,7932,911,7021,2454,159,2295,75,0.11,0.18,1.82,2,18,Thomas Drake Ct Project,"The Town of Kernersville discovered a sizable hole and longitudinal fractures during inspection of the culvert crossing on Thomas Drake Court. Failure of the culvert would lead to the development of a sinkhole, loss of the road, area flooding and potential property damage for residents. Loss of the road would also prevent access for emergency services. An existing sewer line could also be undermined causing failure resulting in loss of services as well as wastewater entering the channel. Golden LEAF flood mitigation grant funds will be used to replace the existing damaged culvert. The project will include removal of the failing corrugated metal pipe and replace it with reinforced concrete pipe (RCP). The culvert will be extended upstream of the crossing. The extension will provide protection to the adjacent sewer line. Downstream of the culvert crossing, two driveway culvert crossings will be abandoned in place and the new RCP installed with tie-in to the proposed headwall. Stream realignment and stabilization grading both upstream and downstream will better direct flow and prevent further erosion. Households located in the immediate project area in the section of Thomas Drake Court from the culvert crossing northward to the cul-de-sac will directly benefit from this project.",Town of Kernersville,Local Government,Infrastructure,5/20/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Kernersville
